Date,Open,High,Low,Volume,Close
2018-08-03,347.75,347.859985,338.480011,8848400,343.089996
2018-08-06,342.869995,351.980011,341.73999,8198100,350.920013
2018-08-07,353.230011,357.309998,349.01001,7970900,351.829987
2018-08-08,352.209991,352.290009,346.609985,5394700,347.609985
2018-08-09,347.959991,352.440002,345.820007,4820300,349.359985
2018-08-10,346.910004,349.100006,344.420013,4328400,345.869995
2018-08-13,339.890015,347.190002,339.070007,6888900,341.309998
2018-08-14,342.089996,342.410004,336.25,5805200,337.48999
2018-08-15,334.029999,335.5,321.0,11784500,326.399994
2018-08-16,329.899994,331.170013,321.209991,6689700,322.440002
2018-08-17,319.01001,324.369995,312.959991,10407900,316.779999
2018-08-20,314.640015,331.600006,310.929993,13591100,327.730011
2018-08-21,331.0,341.5,329.700012,14783200,338.019989
2018-08-22,338.48999,346.209991,337.410004,8930700,344.440002
2018-08-23,348.109985,350.079987,337.649994,11336400,339.170013
2018-08-24,346.0,359.149994,344.540009,14729100,358.820007
2018-08-27,367.149994,374.48999,360.0,17427300,364.579987
2018-08-28,367.230011,369.98999,360.380005,9222600,368.48999
2018-08-29,367.200012,369.859985,362.910004,8118700,368.040009
2018-08-30,365.0,376.809998,363.540009,10981000,370.980011
2018-08-31,370.660004,376.0,367.079987,7943400,367.679993
2018-09-04,366.470001,368.880005,361.26001,7605200,363.600006
2018-09-05,360.0,363.390015,335.829987,13092800,341.179993
2018-09-06,347.440002,356.0,341.98999,13050200,346.459991
2018-09-07,342.200012,355.75,341.25,9105800,348.679993
2018-09-10,352.269989,352.5,343.079987,5752200,348.410004
2018-09-11,344.670013,356.149994,343.899994,6198100,355.929993
2018-09-12,359.079987,370.429993,356.23999,10480800,369.950012
2018-09-13,371.910004,374.089996,366.839996,8366100,368.149994
2018-09-14,368.549988,371.089996,363.459991,4756400,364.559998
2018-09-17,364.220001,367.329987,349.570007,7071900,350.350006
2018-09-18,353.670013,368.149994,351.559998,10414000,367.649994
2018-09-19,373.950012,377.609985,359.170013,11876800,366.959991
2018-09-20,370.26001,370.26001,363.170013,6768100,365.359985
